Talk about,Worried about,Talk1,Talk2,Talk3,Worry1,Worry2,Worry3
controlling emotions,making mistakes,What emotion gives you most trouble?,Let's talk about emotions,Do you have any emotions?,What kinds of mistakes do you worry about,Making mistakes is bad,I made mistakes
making friends,nighttime,Do you have difficulty making friends?,Do you have any friends?,Is it good to have friends?,What do you worry about at night?,Worrying is pointless,The night is scary
how to be kind,missing friends,Let's talk about how to be kind to others,It's good to be kind,Kindness is good,Do you worry about missing your friends?,Friends are great,I have friends
how to be helpful,being anxious,Do you know how to help others?,Helping others is good,Its good to be helpful,What makes you worried?,Anxiety and depression are quite common,I have been anxious
exploring around the house,dealing with bullies,Which rooms of your house are your favorite?,Do you have rooms?,Let's talk about houses,Are there any bullies you worry about?,Bullying is a part of life,I was a bully once
exploring around the neighborhood,conflict,What parts of your neighborhood do you like the most?,Is your neighborhood nice?,Do you have a neighboorhood?,Are you worried about conflict or getting into fights?,Conflict is a part of life,I have conflict
your annoying family,being alone,Who in your family do you not like?,Do you like your family?,Do you have a family?,Are you worried about being alone?,Its best to get over being alone,I am alone
being mad at others,being accepted,Do you often get mad at others?,Have you ever been mad?,Being mad at others is bad,Do you worry about others accepting you?,"If they dont accept you, don't accept them!",Worry of acceptance peaks in high school
being different from others,peer pressure,Are you worried that you are different than other people?,Let's talk about differences,Being different is bad,Do you worry about your friends making you do things?,Peer pressure is the worst part of teenagehood,I have peer pressure
being a good sport,being a bad listener,Do you want to learn how to be a good sport?,Good behavior will be rewarded,Being a good sport is good,Do you know how to be a good listener?,Listening skills are an effective way to get ahead in life,Everyone should listen
your favorite music,a phobia,What types of music do you like?,Music makes me happy,Music is good,Do you have any intense fear or phobia?,People need to get over their phobias,I dont believe in phobias
forgiving others,having friends,Do you know how to forgive others?,Forgiving others is good,Forgiveness is done best,Do you worry about having friends?,Friendship is good,Friendships are formed and broken throughout life
how the weather has been,robots,How has the weather been recently?,Hot weather can make us angry,Weather is important,Do you worry about robots?,Robots are fun,Robots are evil
standing up for yourself,school,Do you want to learn how to stand up for yourself?,Standing up for yourself is good,Standing up is good,Do you worry about school?,School is good,Nobody likes going to school
how fun it is to have a good imagination,,What kinds of things do you like to imagine the best?,Do you have an imagination?,It is good to have an imagination,,,
sharing things with others,,Do you want to learn how to share things with others?,Have you shared things?,Sharing things is good,,,
keeping secrets,,What secrets do you keep?,Do you have secrets?,Keeping secrets is a bad thing,,,
why it is important to follow rules,,Do you know why it's important to follow rules?,Do you have rules?,Rules are good,,,
being true to yourself,,Do you know what it means to be true to yourself?,Being true is the best,Being truthful is good,,,
how you love your parents,,How do you show love to your parents?,Loving parents is good,Love is good,,,
your favorite relatives,,Which of your relatives do you like the best?,Do you have any relatives?,Having relatives is good,,,
the upcoming holidays,,What do you plan to do in the next holidays?,Holidays give us a rest,Holidays are good,,,
your birthday,,What presents do you want for your birthday?,Birthdays are fun,Do you have a birthday?,,,
what you like to paint,,What kinds of things do you like to paint?,Painting is fun,Painting is good for the soul,,,
Lego,,What kinds of Lego models have you built?,Lego encourages building,Lego is fun,,,
Star Wars,,Who are your favorite characters in Star Wars?,Star Wars made a lot of money,Star Wars is a space opera,,,
which video games you like,,What are your favorite video games?,Video games encourage violence,Video games are good,,,
your favorite toys,,What are some of your favorite toys?,Do you have zero toys?,Toys are good,,,
your favorite sports,,What is your favorite sport?,Sports encourage cardiovascular exercise,Sports are good,,,
your favorite comics,,What is your favorite comic?,Comics should be disdained in favor of books,Comics are fun,,,
your favorite movies,,What is your favorite movie?,Movies can be a waste of time,Movies are fun,,,
your favorite books,,What is your favorite book?,I have read books,Have you read a book?,,,
your television TV shows,,What is your favorite TV show?,Television is infantile,I like TV,,,
drawing pictures,,What kinds of pictures do you like to draw?,Painting is good,Have you drawn a picture?,,,
your next vacation,,Where do you want to go on your next vacation?,I like vacation,Vacations are good,,,